سوال,گزینه یک,گزینه دو,گزینه سه,گزینه چهار,پاسخ درست,عکس
این تصویر مربوط به کدام غذاست که در شهر شهرکرد استان چهارمحال و بختیاری که به‌عنوان وعدهٔ غذای اصلی خورده می‌شود؟,امگشت پلو,ابگوشت کشک,شوربای قیمه ریزه,خرما وروین (خرما با روغن حیوانی اصل کرمانشاه),3,..\processed_images\1213_1_شوربای_قیمه_ریزه_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست که در شهر شیراز استان فارس که به‌عنوان وعدهٔ ناهار خورده می‌شود؟,◾🍲اش گوشت بوشهری نذری روز ۲۸ صفر🍲◾,اش کدو چهارمحال و بختیاری,قیمه به,خورش نعنا جعفری,3,..\processed_images\550_1_قیمه_به_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست که در شهر سنندج استان کردستان که به‌عنوان وعدهٔ شام خورده می‌شود؟,نان نارگیلی تبریز,مشکوفی با ارد برنج و نشاسته,خورش شوید خولی,ترخینه، اش خوش مزه وپر خاصیت در فصل سرما,4,..\processed_images\1661_2_ترخینه_،_آش_خوش_مزه_وپر_خاصیت_در_فصل_سرما_مرحله_2.jpg
این تصویر مربوط به کدام غذاست که در استان مازندران که به‌عنوان وعدهٔ غذای اصلی خورده می‌شود؟,جغور بغور با جگر سیاه گوسفندی,کباب دیزی همدان,مشکوفی قالبی,شکر پلو بوشهری,1,..\processed_images\891_1_جغور_بغور_با_جگر_سیاه_گوسفندی_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست که در شهر رشت استان گیلان؟,چکدرمه یا پلو گوشت ترکمنی,اش بادمجان,اش درشته دزفول,پلا کباب (محلی گیلان),4,..\processed_images\1342_1_پلا_کباب_(محلی_گیلان)_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که به‌عنوان وعدهٔ روزمره / خانوادگی خورده می‌شود؟,کوفته قمی,قورمه سبزی تبریز,حلوای زعفرانی تبریز,اش دندونی تبریز,3,..\processed_images\21_2_حلوای_زعفرانی_تبریز_1_مرحله.jpg
این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که به‌عنوان وعدهٔ روزمره / خانوادگی خورده می‌شود؟,خلابی,گیجاواش,دسر کشک و لبو,شیله,4,..\processed_images\15_1_شیله_نهایی_تصویر.jpg
این تصویر مربوط به کدام غذاست که در شهر سنندج استان کردستان که به‌عنوان وعدهٔ ناهار خورده می‌شود؟,پلو ماش و قمری,قطاب مازندران,کوفته سماق کردی,اش رشته بابلی,3,..\processed_images\1614_1_کوفته_سماق_کردی_مرحله_1.jpg
این تصویر مربوط به کدام غذاست که در شهر شیراز استان فارس؟,مرغ مسمای شیرازی,شیرینی اب دندون,خورش ترش تره,اش شولی اصفهان,1,..\processed_images\611_1_مرغ_مسمای_شیرازی_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست که در استان مازندران که به‌عنوان وعدهٔ غذای اصلی خورده می‌شود؟,ابگوشت سفید (ابگوشت ساوه),هلی دشکن هلی کتنی یا فکتنی شمالی,اش اوماج,قورمه کدو سبز,4,..\processed_images\919_4_قورمه_کدو_سبز_3_مرحله.jpg
این تصویر مربوط به کدام غذاست که در شهر رشت استان گیلان که به‌عنوان وعدهٔ روزمره / خانوادگی خورده می‌شود؟,اش شله ماشکی,قیمه رشتی,کوفته تبریزی دستپخت مامان جون,کویی اش,4,..\processed_images\196_1_کوئی_آش_images.jpg
این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که به‌عنوان وعدهٔ دسر خورده می‌شود؟,یتیمچه کدو,نان خمیر تره,اسفنا پهلو غذای مخصوص مازندران امل,حلوای ترح ترک تبریز,4,..\processed_images\1802_1_حلوای_ترح_ترک_تبریز_مرحله_1.jpg
این تصویر مربوط به کدام غذاست که در شهر Unknown استان unknown که به‌عنوان وعدهٔ ناهار خورده می‌شود؟,برنج سرخ کرده,کاچی زرد (ساده),ساندویچ چغور پغور,حلوای خرما بوشهری,3,..\processed_images\1562_1_ساندویچ_چغور_پغور_مرحله_1.jpg
