index,سوال کامل,گزینه انتخابی مدل (بر اساس logprob),خروجی خام مدل (نمونه),پاسخ درست,عکس داشت؟,درست/نادرست
0,"با مواد اولیه ماش، کلم قمری، زعفران دم کرده، پیاز کوچک چه غذایی میشود درست کرد؟
گزینه یک: ماهی قزل الای ترش
گزینه دو: پلو ماش و قمری
گزینه سه: حلیم ماش و قمری
گزینه چهار: کباب ترش کردی",4,4,2,False,False
1,"با مواد اولیه سیر، پیاز بزرگ، فلفل، زردچوبه چه غذایی میشود درست کرد؟
گزینه یک: کشک بادمجان دامغانی
گزینه دو: سوتی پلو
گزینه سه: اش خشکبار
گزینه چهار: کوفته سیرابی",4,4,1,False,False
2,"با مواد اولیه تخم مرغ، شکر، اب چه غذایی میشود درست کرد؟
گزینه یک: خاگینه قاشقی تبریزی
گزینه دو: گیزاتما
گزینه سه: نان خمیر عربی
گزینه چهار: اش ترخینه و ماش",1,,1,False,True
3,"با مواد اولیه عصاره گوشت، نخود، برنج ۱۲، عدس چه غذایی میشود درست کرد؟
گزینه یک: شیر برنج اردبیلی
گزینه دو: جگر شورباسی
گزینه سه: اش میوه
گزینه چهار: اش دندونی دخترم",4,4,4,False,True
4,"با مواد اولیه سیر، نمک و فلفل به مقدار لازم، پیاز زرد متوسط چه غذایی میشود درست کرد؟
گزینه یک: کشک و بادمجان دامغانی
گزینه دو: ابگوشت تبریزی
گزینه سه: بورانی کدو
گزینه چهار: فلافل اصیل بوشهری",4,4,4,False,True
5,"با مواد اولیه لپه، گوشت دنبه دار، گندم حلیم، غذاخوری شیره خرما چه غذایی میشود درست کرد؟
گزینه یک: برزنگک
گزینه دو: نکات کاربردی پخت خورش
گزینه سه: نان برنجی قزوین
گزینه چهار: واویشکا",4,4,1,False,False
6,"با مواد اولیه پودر پسته، پودر نارگیل، کنجد چه غذایی میشود درست کرد؟
گزینه یک: بورانی کدو سبز قلمی
گزینه دو: شیرینی نارگیلی قزوین نارگیلی اردی
گزینه سه: خورش ته انداز میگو
گزینه چهار: کله کنجی ایلام",1,1,4,False,False
7,"با مواد اولیه بلغور گندم، نمک به مقدار لازم، دوغ غلیظ، سیر و دیگر ادویه جات بدلخواه است چه غذایی میشود درست کرد؟
گزینه یک: ترخینه، اش خوش مزه وپر خاصیت در فصل سرما
گزینه دو: باقلا پخته
گزینه سه: نان کوهی امل نان مغزدار
گزینه چهار: بلالیت",4,4,1,False,False
8,"با مواد اولیه سبزی کوهی پیرچک یا پیازچه خرد شده، کره یا روغن حیوانی به میزان لازم، نمک، به اندازه نیاز، اب به اندازه ای که خمیر نه شل باشه نه سفت، ارد چه غذایی میشود درست کرد؟
گزینه یک: شلگه پلوی کردی
گزینه دو: نان محلی گیلانی (کولبا)
گزینه سه: نان سبزی محلی یا کلانه تره کوهی به گویش محلی پیرچک
گزینه چهار: میزا کدو",2,2,3,False,False
9,"با مواد اولیه الو جنگلی، لیوان شکر، نمک، شلیل رسیده نرم چه غذایی میشود درست کرد؟
گزینه یک: لوز زعفرانی
گزینه دو: لواشک الو جنگلی با بخار اب
گزینه سه: اش میوه
گزینه چهار: په جییر",4,4,2,False,False
