question,option1,option2,option3,option4,correct_option
با مواد اولیه ماش، کلم قمری، زعفران دم کرده، پیاز کوچک چه غذایی می‌شود درست کرد؟,ماهی قزل الای ترش,پلو ماش و قمری,حلیم ماش و قمری,کباب ترش کردی,2
با مواد اولیه سیر، پیاز بزرگ، فلفل، زردچوبه چه غذایی می‌شود درست کرد؟,کشک بادمجان دامغانی,سوتی پلو,اش خشکبار,کوفته سیرابی,1
با مواد اولیه تخم مرغ، شکر، اب چه غذایی می‌شود درست کرد؟,خاگینه قاشقی تبریزی,گیزاتما,نان خمیر عربی,اش ترخینه و ماش,1
با مواد اولیه عصاره گوشت، نخود، برنج ۱۲، عدس چه غذایی می‌شود درست کرد؟,شیر برنج اردبیلی,جگر شورباسی,اش میوه,اش دندونی دخترم,4
با مواد اولیه سیر، نمک و فلفل به مقدار لازم، پیاز زرد متوسط چه غذایی می‌شود درست کرد؟,کشک و بادمجان دامغانی,ابگوشت تبریزی,بورانی کدو,فلافل اصیل بوشهری,4
با مواد اولیه لپه، گوشت دنبه دار، گندم حلیم، غذاخوری شیره خرما چه غذایی می‌شود درست کرد؟,برزنگک,نکات کاربردی پخت خورش,نان برنجی قزوین,واویشکا,1
با مواد اولیه پودر پسته، پودر نارگیل، کنجد چه غذایی می‌شود درست کرد؟,بورانی کدو سبز قلمی,شیرینی نارگیلی قزوین نارگیلی اردی,خورش ته انداز میگو,کله کنجی ایلام,4
با مواد اولیه بلغور گندم، نمک به مقدار لازم، دوغ غلیظ، سیر و دیگر ادویه جات بدلخواه است چه غذایی می‌شود درست کرد؟,ترخینه، اش خوش مزه وپر خاصیت در فصل سرما,باقلا پخته,نان کوهی امل نان مغزدار,بلالیت,1
با مواد اولیه سبزی کوهی پیرچک یا پیازچه خرد شده، کره یا روغن حیوانی به میزان لازم، نمک، به اندازه نیاز، اب به اندازه ای که خمیر نه شل باشه نه سفت، ارد چه غذایی می‌شود درست کرد؟,شلگه پلوی کردی,نان محلی گیلانی (کولبا),نان سبزی محلی یا کلانه تره کوهی به گویش محلی پیرچک,میزا کدو,3
با مواد اولیه الو جنگلی، لیوان شکر، نمک، شلیل رسیده نرم چه غذایی می‌شود درست کرد؟,لوز زعفرانی,لواشک الو جنگلی با بخار اب,اش میوه,په جییر,2
با مواد اولیه شوید خردشده، برگ مو، غوره ریز چه غذایی می‌شود درست کرد؟,دلمه برگ مو تبریزی,فرنی ارد برنج (گیلانی),کوکوی هفت لشکر,ابگوشت کلم قمری,1
با مواد اولیه برنج، زردچوبه، شیر چه غذایی می‌شود درست کرد؟,شربت رازیانه و هل,شله عدسی,نان محلی گیلانی (کولبا),سوتی پلو اردبیلی برنج شیر پز,4
با مواد اولیه رب انار، پیاز، تمر هندی (اختیاری)، نمک و فلفل چه غذایی می‌شود درست کرد؟,حمیس توله (پنیرک),یخمه ترش,اش گیلدیک,نان محلی برساق کردستان ۲,1
با مواد اولیه شوید، گوشت چرخ کرده، نمک، فلفل سیاه و زردچوبه به میزان لازم چه غذایی می‌شود درست کرد؟,کوکو شوید,کیک یزدی حاج خلیفه,کاچی سنندج,کماج کم شکر,1
با مواد اولیه قیسی، پیاز ریزشده، زعفران در صورت تمایل به میزان لازم چه غذایی می‌شود درست کرد؟,پوکورا بوشهری,سوسه کباب سیکا,شیرین قورمه,اشکنه اسفناج,3
با مواد اولیه بادام، زعفران اب شده، روغن مایع، کنجه چه غذایی می‌شود درست کرد؟,پشت زیگ شیرینی سنتی مازندران,بورش,کاپ کیک نارنگی (مدرسه),خورش قورمه سبزی,1
با مواد اولیه اب لیمو ترش، اب، برنج چه غذایی می‌شود درست کرد؟,سیر قلیه,قابلی پلو تبریزی,حلوای سه رنگ,برنج دیشو,4
با مواد اولیه گوشت گوسفندی با استخوان، شلم اماده خشک، نخود چه غذایی می‌شود درست کرد؟,دلمه برگ مو,کوفته کرمانشاهی,اش دوغ اردبیلی,شلمین,4
با مواد اولیه فلفل دلمه ای ریز خرد شده، گوشت چرخ کرده، بادمجان دلمه ای سایز متوسط، رب گوجه فرنگی چه غذایی می‌شود درست کرد؟,شامی بابلی,پلو سمنانی با خورشت مرغ,بادمجان شکم پر,قیس اوا,3
با مواد اولیه ماست ساده پر چرب، زعفران، گوشت گوسفند چه غذایی می‌شود درست کرد؟,سوپ گشنیز تبریزی,واویشکا یا بیج بیج,بادام سوخته گیلانی (استانه اشرفیه),قورمه اذری,4
با مواد اولیه پودر هل، دارچین، زنجبیل به مقدار لازم، خاگینه، هل چه غذایی می‌شود درست کرد؟,قیقاناخ تبریز,خورش ریواس,دوغ و گوشفیل,اش دوغ ارومیه,1
با مواد اولیه هل کوبیده شده، شکر، پودرزنجبیل چه غذایی می‌شود درست کرد؟,کویی اش,شوربای رشته تبریز,حلوای زنجبیلی تبریز,نان روغنی اصل کرمانشاه,3
